question,context
당뇨망막병증을 진단하는 가장 중요한 검사는 무엇인가요?,"당뇨망막병증의 진단: ① 안저 검사
당뇨망막병증을 진단하는 가장 중요한 검사입니다. 모든 환자를 대상으로 한 산동 검사가 원칙이며, 렌즈를 이용한 세극등 현미경 안저 검사 또는 도상 검안경 검사를 시행합니다. 렌즈를 이용한 세극등 현미경 안저 검사는 고배율의 입체시가 가능하기 때문에 후극부의 이상, 즉 유두혈관 신생이나 황반 부종, 망막 내 미세혈관 이상 등을 관찰하는 데 적합합니다. 도상 검안경 검사는 넓은 시야를 얻을 수 있기 때문에 전반적인 출혈이나 삼출물의 정도를 파악할 수 있으며 주변부의 이상을 검사하는데 용이합니다. 이 두 가지 검사는 서로 보완적이기 때문에 두 가지 모두를 이용하여 반복적이고 세밀한 검사를 하는 것이 좋습니다.
② 형광 안저혈관 조영
형광 안저혈관 조영 검사를 통해 당뇨망막병증의 직접적 원인이 되는 혈관의 누출과 혈관 폐쇄를 확인할 수 있습니다. 안저 검사를 시행한 뒤 보완적으로 이 검사를 시행하여 당뇨망막병증의 정도를 파악해야 합니다. 안저 검사를 하지 않고 단독으로 이 검사를 시행하는 것은 바람직하지 않습니다. 안저 검사 소견은 별다른 이상이 없지만 형광 안저 혈관 촬영에서 심한 혈관 비관류가 나타나는 경우도 있으므로, 안저 검사 소견이 의심스러운 경우에 이 검사가 진단에 도움이 될 수 있습니다.
③ 초음파 검사
매체 혼탁에 의해 안저를 관찰할 수 없을 때는 초음파 검사를 이용합니다. 당뇨망막병증에서는 주로 유리체 출혈, 뒤유리체면과 증식막의 상태, 견인 망막 박리 등의 형태 진단을 위해 초음파를 이용합니다.
④ 빛 간섭 단층촬영
빛 간섭 단층촬영을 통해 황반 부종의 정량적 측정을 객관적으로 시행할 수 있습니다. 또한 치료 전후의 효과 판단에 많은 도움을 줍니다. 이 밖에도 망막과 뒤유리체막의 상태를 관찰할 수 있기 때문에 황반 주름, 견인 등의 유무를 진단할 수 있습니다.
⑤ 망막 전위도 검사
임상적으로 가장 의미 있는 소견은 합한 진동소파전위진폭(Summed oscillatory potential amplitude)의 감소입니다. 진동소파전위는 강한 빛을 자극할 때 b파에 중첩되어 나타나는 일련의 파형으로, 망막 내층의 기능을 보여줍니다. 진동소파전위의 진폭 감소는 임상적으로 망막병증이 나타나지 않을 때도 확인할 수 있습니다. 형광 안저 촬영 소견 중 비관류나 누출, 망막병증의 심한 정도에 비례하여 감소합니다. 비증식 당뇨망막병증에서 진동소파전위가 정상일 때는 15년이 경과한 후 증식 당뇨망막병증으로 이행할 가능성이 20%인데 비해, 이것이 감소했을 때는 무려 62%로 높아집니다. 따라서 이 검사는 예후를 예측하는 데 의의가 있습니다."
당뇨망막병증의 형광 안저혈관 조영 검사는 어떤 역할을 하나요?,"당뇨망막병증의 진단: ① 안저 검사
당뇨망막병증을 진단하는 가장 중요한 검사입니다. 모든 환자를 대상으로 한 산동 검사가 원칙이며, 렌즈를 이용한 세극등 현미경 안저 검사 또는 도상 검안경 검사를 시행합니다. 렌즈를 이용한 세극등 현미경 안저 검사는 고배율의 입체시가 가능하기 때문에 후극부의 이상, 즉 유두혈관 신생이나 황반 부종, 망막 내 미세혈관 이상 등을 관찰하는 데 적합합니다. 도상 검안경 검사는 넓은 시야를 얻을 수 있기 때문에 전반적인 출혈이나 삼출물의 정도를 파악할 수 있으며 주변부의 이상을 검사하는데 용이합니다. 이 두 가지 검사는 서로 보완적이기 때문에 두 가지 모두를 이용하여 반복적이고 세밀한 검사를 하는 것이 좋습니다.
② 형광 안저혈관 조영
형광 안저혈관 조영 검사를 통해 당뇨망막병증의 직접적 원인이 되는 혈관의 누출과 혈관 폐쇄를 확인할 수 있습니다. 안저 검사를 시행한 뒤 보완적으로 이 검사를 시행하여 당뇨망막병증의 정도를 파악해야 합니다. 안저 검사를 하지 않고 단독으로 이 검사를 시행하는 것은 바람직하지 않습니다. 안저 검사 소견은 별다른 이상이 없지만 형광 안저 혈관 촬영에서 심한 혈관 비관류가 나타나는 경우도 있으므로, 안저 검사 소견이 의심스러운 경우에 이 검사가 진단에 도움이 될 수 있습니다.
③ 초음파 검사
매체 혼탁에 의해 안저를 관찰할 수 없을 때는 초음파 검사를 이용합니다. 당뇨망막병증에서는 주로 유리체 출혈, 뒤유리체면과 증식막의 상태, 견인 망막 박리 등의 형태 진단을 위해 초음파를 이용합니다.
④ 빛 간섭 단층촬영
빛 간섭 단층촬영을 통해 황반 부종의 정량적 측정을 객관적으로 시행할 수 있습니다. 또한 치료 전후의 효과 판단에 많은 도움을 줍니다. 이 밖에도 망막과 뒤유리체막의 상태를 관찰할 수 있기 때문에 황반 주름, 견인 등의 유무를 진단할 수 있습니다.
⑤ 망막 전위도 검사
임상적으로 가장 의미 있는 소견은 합한 진동소파전위진폭(Summed oscillatory potential amplitude)의 감소입니다. 진동소파전위는 강한 빛을 자극할 때 b파에 중첩되어 나타나는 일련의 파형으로, 망막 내층의 기능을 보여줍니다. 진동소파전위의 진폭 감소는 임상적으로 망막병증이 나타나지 않을 때도 확인할 수 있습니다. 형광 안저 촬영 소견 중 비관류나 누출, 망막병증의 심한 정도에 비례하여 감소합니다. 비증식 당뇨망막병증에서 진동소파전위가 정상일 때는 15년이 경과한 후 증식 당뇨망막병증으로 이행할 가능성이 20%인데 비해, 이것이 감소했을 때는 무려 62%로 높아집니다. 따라서 이 검사는 예후를 예측하는 데 의의가 있습니다."
당뇨망막병증의 치료는 어떻게 이루어지나요?,"당뇨망막병증의 치료: 당뇨망막병증을 치료하기 위해서는 원인 질환 치료가 동반되어야 합니다. 당뇨망막병증의 발생은 혈당치보다 당뇨병을 앓았던 기간에 비례하는 것으로 알려져 있습니다. 그러나 많은 연구에서 혈당을 엄격하게 조절할 경우 당뇨망막병증의 발생을 예방하거나 지연시킬 수 있고, 그 정도도 감소시킬 수 있다는 것이 밝혀졌습니다. 또한 당뇨병의 초기에 혈당을 조절하는 것이 당뇨망막병증의 빈도를 줄이는 데 가장 효과적입니다.
당뇨병 환자는 혈청 지질이 증가된 경우가 많습니다. 이러한 지질 이상은 혈관 내피세포의 손상을 조장하여 당뇨망막병증의 미세혈관 변화를 악화시킬 수 있습니다. 따라서 반드시 혈청 지질을 조절해야 합니다. 또한 혈압을 조절하거나 흡연을 하는 경우에는 금연을 하는 것이 좋습니다.
일단 발생한 망막병증, 특히 증식성 망막병증에 대해서는 레이저 광선을 이용한 \'광응고 요법\'을 시행할 수 있습니다. 적절한 시기에 이를 잘 치료하면 실명 확률을 현저히 낮출 수 있습니다. 한편 초자체의 출혈이나 망막의 박리 등으로 시력이 더욱 저하된 경우에는 초자체 제거술과 같은 외과적 수술을 고려할 수 있습니다. 광응고 요법의 부작용으로는 치료 시 통증, 각막 미란, 일시적인 안압 상승, 시야 장애, 조기 시력 저하, 황반 부종, 황반 응고, 맥락막 박리, 맥락막 출혈, 삼출 망막 박리, 견인 망막 박리 증가, 유리체 출혈 등을 들 수 있습니다."
당뇨망막병증을 치료하기 위해 혈당을 엄격하게 조절하는 이유는 무엇인가요?,"당뇨망막병증의 치료: 당뇨망막병증을 치료하기 위해서는 원인 질환 치료가 동반되어야 합니다. 당뇨망막병증의 발생은 혈당치보다 당뇨병을 앓았던 기간에 비례하는 것으로 알려져 있습니다. 그러나 많은 연구에서 혈당을 엄격하게 조절할 경우 당뇨망막병증의 발생을 예방하거나 지연시킬 수 있고, 그 정도도 감소시킬 수 있다는 것이 밝혀졌습니다. 또한 당뇨병의 초기에 혈당을 조절하는 것이 당뇨망막병증의 빈도를 줄이는 데 가장 효과적입니다.
당뇨병 환자는 혈청 지질이 증가된 경우가 많습니다. 이러한 지질 이상은 혈관 내피세포의 손상을 조장하여 당뇨망막병증의 미세혈관 변화를 악화시킬 수 있습니다. 따라서 반드시 혈청 지질을 조절해야 합니다. 또한 혈압을 조절하거나 흡연을 하는 경우에는 금연을 하는 것이 좋습니다.
일단 발생한 망막병증, 특히 증식성 망막병증에 대해서는 레이저 광선을 이용한 \'광응고 요법\'을 시행할 수 있습니다. 적절한 시기에 이를 잘 치료하면 실명 확률을 현저히 낮출 수 있습니다. 한편 초자체의 출혈이나 망막의 박리 등으로 시력이 더욱 저하된 경우에는 초자체 제거술과 같은 외과적 수술을 고려할 수 있습니다. 광응고 요법의 부작용으로는 치료 시 통증, 각막 미란, 일시적인 안압 상승, 시야 장애, 조기 시력 저하, 황반 부종, 황반 응고, 맥락막 박리, 맥락막 출혈, 삼출 망막 박리, 견인 망막 박리 증가, 유리체 출혈 등을 들 수 있습니다."
당뇨망막병증의 경과를 추적하는데 어떤 주기로 안과검사를 받아야 하나요?,"당뇨망막병증의 경과: 제1형 당뇨병을 처음으로 진단받은 경우, 보통 첫 5년간은 당뇨망막병증이 없으므로 초기 안과검사는 당뇨병 진단 5년 이내에 받으면 됩니다. 제2형 당뇨병의 경우에는 정확한 발병 시기와 유병 기간을 알 수 없으며, 당뇨병을 처음 진단받을 때에 이미 당뇨망막병증이 동반될 수 있으므로 처음 당뇨병 진단을 받을 때 반드시 안과검사가 필요하고 이상이 없더라도 적어도 1년에 한 번 이상 안과검사를 받는 것이 좋습니다.
당뇨망막병증이 진행된 경우에는 정도에 따라 추적 관찰 간격이 결정됩니다. 임신 중에는 당뇨망막병증이 더 악화되므로, 최소한 3개월에 한 번 정도 안저검사를 받아야 하며, 당뇨망막병증의 상태에 따라 더 자주 경과를 관찰해야 합니다."
당뇨망막병증이 동반될 수 있는 경우에도 안과검사를 받아야 하는 이유는 무엇인가요?,"당뇨망막병증의 경과: 제1형 당뇨병을 처음으로 진단받은 경우, 보통 첫 5년간은 당뇨망막병증이 없으므로 초기 안과검사는 당뇨병 진단 5년 이내에 받으면 됩니다. 제2형 당뇨병의 경우에는 정확한 발병 시기와 유병 기간을 알 수 없으며, 당뇨병을 처음 진단받을 때에 이미 당뇨망막병증이 동반될 수 있으므로 처음 당뇨병 진단을 받을 때 반드시 안과검사가 필요하고 이상이 없더라도 적어도 1년에 한 번 이상 안과검사를 받는 것이 좋습니다.
당뇨망막병증이 진행된 경우에는 정도에 따라 추적 관찰 간격이 결정됩니다. 임신 중에는 당뇨망막병증이 더 악화되므로, 최소한 3개월에 한 번 정도 안저검사를 받아야 하며, 당뇨망막병증의 상태에 따라 더 자주 경과를 관찰해야 합니다."
당뇨망막병증을 앓고 있을 때 시력이 정상일 수도 있는 이유는 무엇인가요?,당뇨망막병증의 주의사항: 증식성 당뇨망막병증을 앓는 환자라도 중심 망막(황반)에 장애가 없으면 시력이 정상일 수 있습니다. 그러나 이와 같은 상태로도 주변에 증식 병변이 있다면 언제라도 출혈이나 견인 망막 박리로 인해 치명적인 시력 손실이 발생할 수 있습니다. 이 경우 레이저 치료를 받아 위험을 줄여야 합니다.
언제라도 출혈이나 견인 망막 박리로 인해 시력 손실이 발생할 수 있는 상황은 어떤 경우인가요?,당뇨망막병증의 주의사항: 증식성 당뇨망막병증을 앓는 환자라도 중심 망막(황반)에 장애가 없으면 시력이 정상일 수 있습니다. 그러나 이와 같은 상태로도 주변에 증식 병변이 있다면 언제라도 출혈이나 견인 망막 박리로 인해 치명적인 시력 손실이 발생할 수 있습니다. 이 경우 레이저 치료를 받아 위험을 줄여야 합니다.
당뇨병이 유방내분비질환에 속한다는 것은 어떤 의미인가요?,당뇨병의 카테고리: 유방내분비질환
유방내분비질환과 당뇨병 간의 연관성은 어떻게 설명할 수 있을까요?,당뇨병의 카테고리: 유방내분비질환
What is the English name for the disease diabetes?,당뇨병의 질환 영문명: Diabetes mellitus
당뇨병의 주요 증상은 무엇인가요?,"당뇨병의 증상: 고혈당,  소양감,  체중감소,  피로감,  시야장애,  다뇨,  저림,  다음,  다식"
당뇨병과 관련된 질환 중에서 어떤 것이 가장 흔하게 발생하나요?,"당뇨병의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병성 족부 질환,  비만,  임신성 당뇨병,  당뇨병성 말초신경병증"
당뇨병성 말초신경병증은 어떤 증상을 보이나요?,"당뇨병의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병성 족부 질환,  비만,  임신성 당뇨병,  당뇨병성 말초신경병증"
당뇨병과 관련된 질환 중에서 인슐린 의존성 당뇨병과 인슐린 비의존성 당뇨병은 어떻게 다른가요?,"당뇨병의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병성 족부 질환,  비만,  임신성 당뇨병,  당뇨병성 말초신경병증"
당뇨병을 진료하는 가정의학과 의사는 어떤 역할을 하나요?,"당뇨병의 진료과: 가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과"
당뇨병을 진료하는 내분비내과 의사는 어떤 절차를 통해 진단을 내리나요?,"당뇨병의 진료과: 가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과"
당뇨병을 진료하는 노년내과 의사는 어떤 점을 주의 깊게 살펴볼까요?,"당뇨병의 진료과: 가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과"
당뇨병을 진료하는 신ㆍ췌장이식외과 의사는 어떤 특별한 치료를 시행할 수 있나요?,"당뇨병의 진료과: 가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과"
당뇨병과 당뇨는 같은 의미인가요?,당뇨병의 동의어: 당뇨
당뇨병은 왜 소변으로 포도당이 배출되는 병이라고 불리는가요?,"당뇨병의 정의: 당뇨병은 소변으로 포도당이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 \'인슐린\'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 제대로 일을 못 하는 상태가 되면 혈당이 상승하며, 이로 인해 혈당이 지속적으로 높은 상태가 됩니다. 이러한 상태를 당뇨병이라고 합니다. 우리나라의 당뇨병 유병률은 경제가 발전하고 생활 양식이 서구화됨에 따라 증가하는 추세입니다."
당뇨병이 유전적 요인과 환경적 요인 중 어느 쪽이 더 큰 영향을 미치나요?,"당뇨병의 원인: 당뇨병의 발생에는 유전과 환경이 중요한 역할을 합니다. 즉, 당뇨병은 이것에 걸리기 쉬운 유전적 체질을 부모로부터 물려받은 사람이 당뇨병을 유발하기 쉬운 환경에 노출될 때 발생할 수 있습니다. 하지만 현재까지 당뇨병을 일으키는 유전자의 이상을 찾을 수 있는 경우는 전체 당뇨병의 1% 미만에 불과합니다. 대부분의 당뇨병에서는 원인 유전자가 명확히 밝혀지지 않았습니다.
당뇨병을 유발할 수 있는 환경 인자로는 고령, 비만, 스트레스, 임신, 감염, 약물(스테로이드제제, 면역억제제, 이뇨제) 등이 있습니다. 환경 인자는 유전 인자와는 달리 본인의 노력으로 어느 정도 피할 수 있습니다. 최근 들어 당뇨병이 급증하는 이유는 유전적인 원인보다는 과도한 음식물 섭취와 운동량 감소로 인한 비만증의 증가 때문으로 여겨집니다. 단것을 많이 먹는다고 당뇨병이 생기지는 않지만, 단것을 많이 먹으면 체중이 늘어날 수 있으며, 비만증이 생기면 당뇨병이 생길 위험성이 증가합니다."
당뇨병을 유발할 수 있는 환경 인자 중에서 어떤 것들이 있나요?,"당뇨병의 원인: 당뇨병의 발생에는 유전과 환경이 중요한 역할을 합니다. 즉, 당뇨병은 이것에 걸리기 쉬운 유전적 체질을 부모로부터 물려받은 사람이 당뇨병을 유발하기 쉬운 환경에 노출될 때 발생할 수 있습니다. 하지만 현재까지 당뇨병을 일으키는 유전자의 이상을 찾을 수 있는 경우는 전체 당뇨병의 1% 미만에 불과합니다. 대부분의 당뇨병에서는 원인 유전자가 명확히 밝혀지지 않았습니다.
당뇨병을 유발할 수 있는 환경 인자로는 고령, 비만, 스트레스, 임신, 감염, 약물(스테로이드제제, 면역억제제, 이뇨제) 등이 있습니다. 환경 인자는 유전 인자와는 달리 본인의 노력으로 어느 정도 피할 수 있습니다. 최근 들어 당뇨병이 급증하는 이유는 유전적인 원인보다는 과도한 음식물 섭취와 운동량 감소로 인한 비만증의 증가 때문으로 여겨집니다. 단것을 많이 먹는다고 당뇨병이 생기지는 않지만, 단것을 많이 먹으면 체중이 늘어날 수 있으며, 비만증이 생기면 당뇨병이 생길 위험성이 증가합니다."
당뇨병에 걸리면 어떤 증상이 나타나나요?,"당뇨병의 구체적 증상: 당뇨병에 걸리면 소변으로 포도당이 빠져나가는데, 이때 수분을 같이 끌고 나가기 때문에 소변량이 늘어납니다. 그 결과 몸 안에 수분이 부족하여 심한 갈증을 느끼게 됩니다. 또한 영양분이 몸에서 이용되지 않고 빠져나가므로 피로감을 잘 느낍니다. 또한 잘 먹는데도 불구하고 체중이 감소합니다. 
당뇨병의 가장 대표적인 증상을 ‘삼다(三多)’라고 부릅니다. 즉, 다음(多飮, 물을 많이 마심), 다뇨(多尿, 소변을 많이 봄), 다식(多食, 많이 먹음)을 말합니다. 그 외 당뇨병의 증상으로는 눈 침침함, 손발 저림, 여성의 경우 질 소양증 등이 나타날 수 있습니다. 하지만 혈당이 많이 높지 않은 경우에는 대부분 특별한 증상을 느끼지 못합니다."
당뇨병 환자는 왜 갈증을 느끼게 되나요?,"당뇨병의 구체적 증상: 당뇨병에 걸리면 소변으로 포도당이 빠져나가는데, 이때 수분을 같이 끌고 나가기 때문에 소변량이 늘어납니다. 그 결과 몸 안에 수분이 부족하여 심한 갈증을 느끼게 됩니다. 또한 영양분이 몸에서 이용되지 않고 빠져나가므로 피로감을 잘 느낍니다. 또한 잘 먹는데도 불구하고 체중이 감소합니다. 
당뇨병의 가장 대표적인 증상을 ‘삼다(三多)’라고 부릅니다. 즉, 다음(多飮, 물을 많이 마심), 다뇨(多尿, 소변을 많이 봄), 다식(多食, 많이 먹음)을 말합니다. 그 외 당뇨병의 증상으로는 눈 침침함, 손발 저림, 여성의 경우 질 소양증 등이 나타날 수 있습니다. 하지만 혈당이 많이 높지 않은 경우에는 대부분 특별한 증상을 느끼지 못합니다."
당뇨병을 진단하는 주요한 방법은 무엇인가요?,"당뇨병의 진단: 당뇨병은 혈당을 측정하여 진단합니다. 이때 혈당 검사란 손가락 끝에서 채혈을 하는 전혈 포도당 검사가 아니라, 정맥혈을 채취하여 피떡을 가라앉히고 상층의 맑은 혈장 성분만을 분리하여 포도당 농도를 측정하는 검사입니다. 과거에 많이 시행하던 요당 검사는 당뇨병이 있어도 음성으로 나올 수 있고, 당뇨병이 아니더라도 양성으로 나올 수 있으므로 진단 검사로는 부적합합니다.
현재 가장 널리 사용되고 있는 당뇨병의 진단 기준은 1997년에 \'당뇨병의 진단 기준 및 분류에 관한 전문위원회\'에서 제시한 것으로, 다음과 같습니다.
① 당뇨병의 특징적인 증상인 물을 많이 먹고 소변을 많이 보는 증상이 나타남. 다른 특별한 원인으로 설명할 수 없는 체중 감소가 나타남. 식사 시간과 관계없이 측정한 혈당이 200mg/dL 이상임.
② 8시간 동안 열량 섭취가 없는 공복 상태에서 측정한 공복 혈당이 126mg/dL 이상
③ 경구 당부하 검사에서 75mg의 포도당을 섭취한 뒤 측정한 2시간째 혈당이 200mg/dL 이상
위의 세 가지 조건 중 어느 한 조건만 만족하면 당뇨병으로 진단할 수 있습니다. 그러나 명백한 고혈당 증상이나 급성 대사 이상이 있는 경우를 제외하고는 다른 날에 반복 검사를 시행하여 두 번 이상 진단 기준을 만족할 때 당뇨병으로 진단합니다."
당뇨병 진단을 위해 반복 검사를 시행해야 하는 이유는 무엇인가요?,"당뇨병의 진단: 당뇨병은 혈당을 측정하여 진단합니다. 이때 혈당 검사란 손가락 끝에서 채혈을 하는 전혈 포도당 검사가 아니라, 정맥혈을 채취하여 피떡을 가라앉히고 상층의 맑은 혈장 성분만을 분리하여 포도당 농도를 측정하는 검사입니다. 과거에 많이 시행하던 요당 검사는 당뇨병이 있어도 음성으로 나올 수 있고, 당뇨병이 아니더라도 양성으로 나올 수 있으므로 진단 검사로는 부적합합니다.
현재 가장 널리 사용되고 있는 당뇨병의 진단 기준은 1997년에 \'당뇨병의 진단 기준 및 분류에 관한 전문위원회\'에서 제시한 것으로, 다음과 같습니다.
① 당뇨병의 특징적인 증상인 물을 많이 먹고 소변을 많이 보는 증상이 나타남. 다른 특별한 원인으로 설명할 수 없는 체중 감소가 나타남. 식사 시간과 관계없이 측정한 혈당이 200mg/dL 이상임.
② 8시간 동안 열량 섭취가 없는 공복 상태에서 측정한 공복 혈당이 126mg/dL 이상
③ 경구 당부하 검사에서 75mg의 포도당을 섭취한 뒤 측정한 2시간째 혈당이 200mg/dL 이상
위의 세 가지 조건 중 어느 한 조건만 만족하면 당뇨병으로 진단할 수 있습니다. 그러나 명백한 고혈당 증상이나 급성 대사 이상이 있는 경우를 제외하고는 다른 날에 반복 검사를 시행하여 두 번 이상 진단 기준을 만족할 때 당뇨병으로 진단합니다."
당뇨병의 치료에는 어떤 방법들이 있나요?,"당뇨병의 치료: 당뇨병의 치료 방법으로는 식사 요법, 운동 요법, 약물 치료가 있습니다. 가벼운 당뇨병은 식사 요법과 운동 요법만으로도 효과적으로 치료할 수 있습니다. 식사 요법과 운동 요법만으로 만족할 만한 혈당 조절이 이루어지지 않을 때 약물 요법을 추가합니다. 하지만 약물 요법을 받는 중에도 반드시 식사 요법과 운동 요법을 병행해야 합니다. 약물 요법에는 경구 혈당강하제와 인슐린 주사가 있는데, 당뇨병의 종류, 환자의 상태, 합병증의 유무에 따라 치료 약물을 선택합니다.
수년에 걸쳐 혈당이 상승할 경우 혈관에 염증이 생기며 심해지면 막힐 수 있습니다. 한편 혈당이 갑자기 심하게 상승하면 무기력, 의식 저하, 더 심하면 사망에 이를 수도 있습니다. 따라서 당뇨병 치료의 목적은 혈당을 정상치에 가깝게 유지하여 고혈당으로 인한 혈관 손상을 방지하고, 당뇨병을 가지고도 건강하게 살도록 하는 것입니다."
어떤 경우에 약물 요법이 필요한가요?,"당뇨병의 치료: 당뇨병의 치료 방법으로는 식사 요법, 운동 요법, 약물 치료가 있습니다. 가벼운 당뇨병은 식사 요법과 운동 요법만으로도 효과적으로 치료할 수 있습니다. 식사 요법과 운동 요법만으로 만족할 만한 혈당 조절이 이루어지지 않을 때 약물 요법을 추가합니다. 하지만 약물 요법을 받는 중에도 반드시 식사 요법과 운동 요법을 병행해야 합니다. 약물 요법에는 경구 혈당강하제와 인슐린 주사가 있는데, 당뇨병의 종류, 환자의 상태, 합병증의 유무에 따라 치료 약물을 선택합니다.
수년에 걸쳐 혈당이 상승할 경우 혈관에 염증이 생기며 심해지면 막힐 수 있습니다. 한편 혈당이 갑자기 심하게 상승하면 무기력, 의식 저하, 더 심하면 사망에 이를 수도 있습니다. 따라서 당뇨병 치료의 목적은 혈당을 정상치에 가깝게 유지하여 고혈당으로 인한 혈관 손상을 방지하고, 당뇨병을 가지고도 건강하게 살도록 하는 것입니다."
당뇨병의 경과에 어떤 합병증이 포함되어 있나요?,"당뇨병의 경과: 당뇨병의 합병증에는 급성 대사성 합병증과 만성 합병증이 있습니다. 급성 대사성 합병증은 혈당이 너무 올라가거나 떨어져서 발생하는데, 적절한 조처를 취하지 않으면 의식 이상이 발생합니다. 적절한 치료를 받지 않을 경우 생명을 위협할 수 있습니다.
만성 합병증은 당뇨병이 오래 지속되어 큰 혈관과 작은 혈관에 변화가 일어나서 이것들이 좁아지거나 막히면서 생깁니다. 큰 혈관의 합병증을 동맥경화증이라 부르는데, 흔히 심장, 뇌, 하지에 혈액을 공급하는 혈관에 생깁니다. 작은 혈관의 합병증은 주로 망막(눈의 일부분), 신장, 신경에 문제를 일으켜서 시력 상실, 만성 신부전, 상하지의 감각 저하 및 통증 등을 유발할 수 있습니다.
최근 여러 대규모의 연구를 통하여 혈당을 철저히 조절하면 소혈관에서 발생하는 당뇨병의 합병증, 즉 망막, 신장, 신경의 합병증을 예방하거나 진행을 막을 수 있음이 증명되었습니다. 그러나 심장혈관이나 뇌혈관에서 발생하는 대혈관 합병증은 혈당 조절만으로는 예방 효과가 적습니다. 혈당 조절과 더불어 혈압, 고지혈증의 조절이 중요합니다."
당뇨병의 망막 합병증은 어떠한 증상을 유발할 수 있나요?,"당뇨병의 경과: 당뇨병의 합병증에는 급성 대사성 합병증과 만성 합병증이 있습니다. 급성 대사성 합병증은 혈당이 너무 올라가거나 떨어져서 발생하는데, 적절한 조처를 취하지 않으면 의식 이상이 발생합니다. 적절한 치료를 받지 않을 경우 생명을 위협할 수 있습니다.
만성 합병증은 당뇨병이 오래 지속되어 큰 혈관과 작은 혈관에 변화가 일어나서 이것들이 좁아지거나 막히면서 생깁니다. 큰 혈관의 합병증을 동맥경화증이라 부르는데, 흔히 심장, 뇌, 하지에 혈액을 공급하는 혈관에 생깁니다. 작은 혈관의 합병증은 주로 망막(눈의 일부분), 신장, 신경에 문제를 일으켜서 시력 상실, 만성 신부전, 상하지의 감각 저하 및 통증 등을 유발할 수 있습니다.
최근 여러 대규모의 연구를 통하여 혈당을 철저히 조절하면 소혈관에서 발생하는 당뇨병의 합병증, 즉 망막, 신장, 신경의 합병증을 예방하거나 진행을 막을 수 있음이 증명되었습니다. 그러나 심장혈관이나 뇌혈관에서 발생하는 대혈관 합병증은 혈당 조절만으로는 예방 효과가 적습니다. 혈당 조절과 더불어 혈압, 고지혈증의 조절이 중요합니다."
당뇨병을 예방하기 위해 어떤 환경 인자를 피해야 하나요?,"당뇨병의 주의사항: 당뇨병을 예방하기 위해서는 일단 당뇨병을 유발할 수 있는 환경 인자인 비만, 좌식 생활, 고지방 식사, 스트레스, 음주 등을 피하는 것이 최선입니다. 특히 가족 중에 당뇨병 환자가 있는 사람은 비만증이 생기지 않도록 식사량을 적절히 조절하고, 운동을 규칙적으로 해야 합니다.
또한 무증상기의 당뇨병을 조기에 진단하기 위해서 다음에 해당하는 사람들은 매년 혈당 검사를 받을 것을 권장하고 있습니다.
① 45세 이상의 모든 성인
② 45세 미만이라도 과체중이거나 비만이면서 아래와 같은 위험 요인이 있는 경우
- 부모, 형제, 자식 중에 당뇨병 환자가 있는 사람
- 고혈압(혈압 140/90mmHg 이상)이 있거나 항고혈압 약물을 복용 중인 사람
- 이상지혈증을 가지고 있는 사람(HDL 콜레스테롤 35mg/dl 이하 또는 중성지방 250mg/dl 이상)
- 과거 내당능 장애 또는 공복 혈당 장애가 있었던 사람
- 임신성 당뇨병으로 진단받은 적이 있거나 4kg 이상의 거대아를 출산한 적이 있는 사람
- 심혈관 질환(뇌졸중, 관상동맥 질환, 말초혈관 질환)을 경험한 사람
- 평소에 운동을 하지 않는 사람"
